"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000237667.8",128.190094948034,-3.47580825055503,0.434916184909206,-7.99190366134718,1.32870855146962e-15,2.47578264395334e-11,"LINC01115"
"ENSG00000235833.1",63.8018841190979,6.70184468226973,0.949500353825809,7.05828560807385,1.68569319568246e-12,1.57047606575756e-08,NA
"ENSG00000223751.3",85.9965884022722,-3.35192060534018,0.512411021025465,-6.54146860196748,6.09176248353738e-11,3.78359367852507e-07,NA
"ENSG00000110955.9",1489.57501074425,1.43584856302163,0.225869144217779,6.35699297482268,2.0574139829792e-10,9.58394868621284e-07,"ATP5F1B"
"ENSG00000109971.14",4246.25291707564,1.46620726281943,0.235915896427977,6.21495747009592,5.13385530997623e-10,1.91318251981574e-06,"HSPA8"
"ENSG00000268738.3",52.7432716888348,7.09132380164761,1.14861670515934,6.17379476529892,6.66700747432889e-10,2.07043917115284e-06,"HSFX2"
"ENSG00000014641.21",2194.8699039772,1.20111845167436,0.213089524449648,5.63668465062522,1.73355140672485e-08,4.61446619450059e-05,"MDH1"
"ENSG00000109472.14",2568.29456769917,1.29326842950167,0.230856525654117,5.60204406540935,2.11838681789377e-08,4.93398769722683e-05,"CPE"
"ENSG00000184956.16",205.771868272766,-1.87808533190142,0.338641169333415,-5.54594509462115,2.92370568335972e-08,6.05304533311573e-05,"MUC6"
"ENSG00000152583.13",14709.9875340167,1.55665858549121,0.284729876343867,5.46714171859942,4.5735038890302e-08,8.52180979642998e-05,"SPARCL1"
"ENSG00000205277.10",138.877976568614,-2.08840414365265,0.383327755358986,-5.44809008598103,5.0913570950295e-08,8.62429606833497e-05,"MUC12"
"ENSG00000155876.6",359.773274902791,1.53443437331817,0.283472913230206,5.41298410431216,6.19829946253882e-08,9.62440949045715e-05,"RRAGA"
"ENSG00000293188.2",194.274800864136,-1.79698692734223,0.333637867484405,-5.38604008259413,7.20269068964015e-08,0.000103236719707742,NA
"ENSG00000186310.10",1129.38176099847,1.36299228541428,0.255015124356817,5.34475078233862,9.05415403839658e-08,0.000120504322998174,"NAP1L3"
"ENSG00000276462.3",145.848140015088,-2.29109250306862,0.43422078849758,-5.27633076020125,1.31796115530162e-07,0.000163717134711567,"LINC03025"
"ENSG00000254960.3",438.864780815033,-1.53358511591823,0.291682653323131,-5.25771792887286,1.4585400345519e-07,0.000169856102898785,"KIRREL3-AS2"
"ENSG00000287558.2",307.357764560587,-1.5457010514277,0.295909143873718,-5.22356636632812,1.75509520113016e-07,0.000192368758133284,NA
"ENSG00000189043.10",484.454488150474,1.40008875515707,0.269282512514376,5.19933040613741,2.00007720908668e-07,0.000207041325760623,"NDUFA4"
"ENSG00000163145.13",143.315800274178,2.47432926059504,0.48244084360604,5.12877235289717,2.91637747371352e-07,0.000286004534040547,"C1QTNF7"
"ENSG00000248837.8",122.430268276137,-2.01320503963205,0.393560611697939,-5.11536210635123,3.13139641266348e-07,0.000291736546785794,"LOC105374524"
"ENSG00000300799.1",262.015242259234,-1.63893725867888,0.321148298335892,-5.10336585051651,3.33665062838384e-07,0.000296056243612743,NA
"ENSG00000176903.5",1480.48039053508,1.14380288147455,0.227302486757763,5.03207377002217,4.8520247751706e-07,0.000410944443798881,"PNMA1"
"ENSG00000138448.13",758.501493284138,1.29583239545661,0.25928364083805,4.9977406645026,5.80059223152538e-07,0.000450343479375051,"ITGAV"
"ENSG00000202048.1",118.769320825,-2.36566107056564,0.473126277335474,-5.00006273988509,5.73116619793232e-07,0.000450343479375051,"SNORD114-20"
"ENSG00000102144.15",1223.17923619129,1.14341252007843,0.231364472278758,4.94204018800601,7.73092744539225e-07,0.000576201484359975,"PGK1"
"ENSG00000138078.16",5279.25659336282,1.06565656100626,0.215979263367107,4.9340688749129,8.05340197822255e-07,0.000577150150231619,"PREPL"
"ENSG00000227676.5",42.6588799459487,4.3011899352385,0.88504270919502,4.85986708952226,1.1746458598873e-06,0.000810636159528892,"LINC01068"
"ENSG00000076003.5",258.107162722563,1.43679571401272,0.296830598399961,4.84045688604084,1.29540958924212e-06,0.000862048817012446,"MCM6"
"ENSG00000138623.10",887.259619938537,1.21271708371969,0.25191654008393,4.81396371717257,1.4796568379062e-06,0.000950705029679528,"SEMA7A"
"ENSG00000111640.15",2070.77622617627,1.24938823709593,0.260504748162004,4.79602865556584,1.61842138535091e-06,0.00100520152244145,"GAPDH"
"ENSG00000142168.15",792.863215243214,1.21025353785233,0.254937354385941,4.74725855992121,2.06192296420118e-06,0.00123934872877292,"SOD1"
"ENSG00000163032.12",4834.97712961448,1.08747513636615,0.230692950658304,4.71395044045747,2.42959779460179e-06,0.00141470924083797,"VSNL1"
"ENSG00000233651.2",51.2989692352348,-2.95384121001254,0.627461915516877,-4.70760238504561,2.50647397748893e-06,0.00141524635219852,NA
"ENSG00000163399.16",3047.44011872952,1.07641874864195,0.228996378041391,4.70059289954091,2.59407208982263e-06,0.00142162780146074,"ATP1A1"
"ENSG00000129657.16",1396.58872072953,1.03491671831367,0.220811720391031,4.68687403223416,2.77409592513461e-06,0.00147684941065809,"SEC14L1"
"ENSG00000166165.14",2392.15212084222,1.00345572284571,0.214575354034241,4.67647240924781,2.91851846111627e-06,0.00151057651349943,"CKB"
"ENSG00000278505.5",84.7252349769431,-2.06731954504596,0.443410511880727,-4.66231514511783,3.12671898327878e-06,0.0015331619688272,"C17orf78"
"ENSG00000131095.14",114.461402112213,1.80328311588359,0.388966595990535,4.63608735164362,3.55065966163629e-06,0.00169639593526331,"GFAP"
"ENSG00000075624.17",6530.03684852812,1.27356520522964,0.2755581351115,4.62176594682756,3.80487153373755e-06,0.00172917490946663,"ACTB"
"ENSG00000080824.19",9951.64475108183,1.25826850525133,0.272022467343315,4.62560507424298,3.73506392753868e-06,0.00172917490946663,"HSP90AA1"
"ENSG00000237321.1",196.805501820438,-1.7465101374892,0.378726739693655,-4.61153109733398,3.99713844904715e-06,0.00175023387531587,NA
"ENSG00000281732.2",125.038936191168,-1.74392033472911,0.378343140603005,-4.60936157571046,4.03907350606893e-06,0.00175023387531587,"LOC284933"
"ENSG00000250091.3",352.007488348545,1.2801826368059,0.27867323249849,4.59384859223191,4.35145155001345e-06,0.00184274083480456,NA
"ENSG00000250125.6",303.941651407931,-1.29415228589744,0.282663703882045,-4.57841692486096,4.68508163423085e-06,0.00190514308951588,"LINC02232"
"ENSG00000270069.5",767.950666320608,-1.18197058779848,0.258207209890259,-4.57760489453733,4.70329963600766e-06,0.00190514308951588,NA
"ENSG00000291181.3",109.503698851342,1.96948952305703,0.435528727989126,4.52206570195802,6.12390435836939e-06,0.00242780233849993,NA
"ENSG00000135390.21",297.857369275135,1.32693740829536,0.294219546735086,4.51002465002819,6.48200932886015e-06,0.00245892898252831,"ATP5MC2"
"ENSG00000272046.1",60.9631049878138,2.58696736362596,0.573792737254653,4.50853974904503,6.52753407712673e-06,0.00245892898252831,NA
"ENSG00000105649.10",1538.40399253369,1.21925930842855,0.27057068787939,4.5062505402361,6.59831745432382e-06,0.00245892898252831,"RAB3A"
"ENSG00000233559.3",2485.61104469228,-1.04621988715974,0.236442953689793,-4.42483005237851,9.65182353092669e-06,0.00339416070601615,NA
"ENSG00000174684.7",881.403682519544,1.11647369691674,0.255435125215102,4.37086988712517,1.23752523329805e-05,0.00427014956889676,"B4GAT1"
"ENSG00000225206.13",1869.87986946322,-1.03764770674663,0.239694706842615,-4.32903888623606,1.49761490903714e-05,0.00476986067027281,"MIR137HG"
"ENSG00000127824.15",787.587966718296,1.30398322563274,0.302364905695601,4.3126143314578,1.61335405041263e-05,0.00476986067027281,"TUBA4A"
"ENSG00000156467.10",860.856050843955,1.22928871730065,0.283215133755268,4.34047679938919,1.42173880045893e-05,0.00476986067027281,"UQCRB"
"ENSG00000188133.6",45.5688285122494,2.57077809331271,0.594595739877568,4.32357301086963,1.53522298719928e-05,0.00476986067027281,"TMEM215"
"ENSG00000148798.11",1457.52495162094,1.08274817040332,0.250368573232403,4.3246169294509,1.52797141892205e-05,0.00476986067027281,"INA"
"ENSG00000224411.3",152.978036264881,1.59635341973186,0.369573706943888,4.31944532237579,1.56421856953701e-05,0.00476986067027281,NA
"ENSG00000073969.19",2135.82953324682,1.04229960147298,0.241876796797619,4.30921698679964,1.63833565661707e-05,0.00476986067027281,"NSF"
"ENSG00000182220.15",628.923795207956,1.06391502732191,0.24652353754911,4.31567321278589,1.59117225324026e-05,0.00476986067027281,"ATP6AP2"
"ENSG00000253361.4",213.751008951132,-1.68514556493027,0.391373091042141,-4.30572669276546,1.66438446908662e-05,0.00477115012499862,NA
"ENSG00000310519.2",136.608626246037,1.81269845198796,0.424673848192497,4.26844850395943,1.968372552705e-05,0.00539363026096356,NA
"ENSG00000304524.1",56.514363151865,2.48030153392081,0.585943941182383,4.23300141804655,2.30593050545573e-05,0.00613805758687952,NA
"ENSG00000079459.14",809.056056018769,1.17374216768375,0.277608976475853,4.22804111950553,2.35734716630949e-05,0.00618654221828798,"FDFT1"
"ENSG00000188021.9",540.875630001118,1.16895107293102,0.277083206803558,4.21877271602302,2.45635733122713e-05,0.00626976796613084,"UBQLN2"
"ENSG00000187189.11",1460.51628580848,1.0534623028437,0.250277610404316,4.20917516809381,2.56304631168617e-05,0.00636398185429396,"TSPYL4"
"ENSG00000101079.21",1309.32331151556,1.05495132043807,0.250802034464279,4.20631085665424,2.59573134184694e-05,0.00636398185429396,"NDRG3"
"ENSG00000308422.1",265.749274425799,-1.30355705875768,0.310466082292463,-4.19871004630293,2.68439783272401e-05,0.00649589413209694,NA
"ENSG00000044574.9",980.095892261247,1.10750474742315,0.264021945753771,4.19474504008093,2.73178689189117e-05,0.00652581860982157,"HSPA5"
"ENSG00000143858.12",826.598843537394,1.19249323955851,0.285515704204031,4.17662924315487,2.95860669626099e-05,0.00670430714044009,"SYT2"
"ENSG00000287985.2",144.556122076442,1.68034594654065,0.401940005939813,4.18058894787465,2.90755047841287e-05,0.00670430714044009,NA
"ENSG00000299609.1",140.409050188459,-1.51528025993438,0.362984826248175,-4.17450028310102,2.98640848310271e-05,0.00670430714044009,NA
"ENSG00000254938.2",332.641623742718,-1.25459937906542,0.301433070344162,-4.16211591393397,3.15312213429e-05,0.00699430056288399,NA
"ENSG00000180525.15",730.03433521966,-1.03511219513371,0.251477656944865,-4.11611992774633,3.85303873798584e-05,0.00789146019107704,"DIP2C-AS1"
"ENSG00000120053.12",894.604598928827,1.03628572995555,0.251766421178812,4.1160601366278,3.85403787574739e-05,0.00789146019107704,"GOT1"
"ENSG00000089220.5",1426.43676717124,1.15039485840115,0.279423458392222,4.11703034892068,3.83785551191267e-05,0.00789146019107704,"PEBP1"
"ENSG00000131100.13",750.479774474,1.16560672601076,0.284032950337623,4.10377290601403,4.06466465165496e-05,0.00814375230691257,"ATP6V1E1"
"ENSG00000297170.1",200.039238781519,-1.37127948051731,0.3354906094079,-4.08738558416718,4.36261709961296e-05,0.00832425830682312,NA
"ENSG00000279083.1",147.747877116058,-1.69503613658143,0.414312130280063,-4.09120567007206,4.29136336597306e-05,0.00832425830682312,NA
"ENSG00000286233.1",150.321392271176,-1.47294313945456,0.360103939460829,-4.09032775831319,4.30764014137502e-05,0.00832425830682312,NA
"ENSG00000228133.3",186.341283958695,-1.35806637023521,0.332324943707061,-4.08656164983007,4.37813188465983e-05,0.00832425830682312,"LOC105371485"
"ENSG00000277758.6",456.059527683034,-1.12914269654752,0.277137284007408,-4.07430815594391,4.61513389690489e-05,0.00841787062511754,"SYT15B"
"ENSG00000110721.12",861.971638150218,-1.09078701685638,0.267473689852315,-4.07810957952035,4.54033674785703e-05,0.00841787062511754,"CHKA"
"ENSG00000189221.11",132.276914354848,1.49913934110249,0.367313496672124,4.08136198284233,4.47725615300213e-05,0.00841787062511754,"MAOA"
"ENSG00000233363.1",201.327558687644,-1.32565479128894,0.326056250541147,-4.06572420890194,4.78835344817029e-05,0.00844142398405997,NA
"ENSG00000258010.4",268.36296606109,-1.30354126293093,0.320326542786975,-4.06941382874357,4.71315673687931e-05,0.00844142398405997,NA
"ENSG00000257060.10",246.603908103586,-1.27390871188836,0.313549658571286,-4.06286110370212,4.84748760958738e-05,0.00844142398405997,NA
"ENSG00000125868.16",985.202903413572,1.11351801713781,0.273950433940046,4.06466965984622,4.8100539419331e-05,0.00844142398405997,"DSTN"
"ENSG00000112972.16",871.406274821343,1.10366664648363,0.272001414107935,4.05757686997053,4.95844992444652e-05,0.00855470346687148,"HMGCS1"
"ENSG00000134215.16",280.279524541453,1.44534158194192,0.357089495563003,4.04756118536372,5.17540559286048e-05,0.00876980426927477,"VAV3"
"ENSG00000107295.10",2670.46567846873,1.02900026407551,0.254232491678005,4.04747739867482,5.17725792744177e-05,0.00876980426927477,"SH3GL2"
"ENSG00000224973.7",197.810870266883,-1.35323287541356,0.334709280624023,-4.04300972142341,5.27694318550188e-05,0.00885813354733843,"LARGE-AS1"
"ENSG00000229807.14",7082.15636181314,11.1773789077048,2.77769408845298,4.02397764180359,5.72233521635172e-05,0.009520024293418,"XIST"
"ENSG00000240891.8",526.681936802432,1.2800674160776,0.318880611766808,4.01425288601016,5.96343836577525e-05,0.00972871487090771,"PLCXD2"
"ENSG00000109107.14",1050.98503541063,1.04281091171415,0.25988167537686,4.01263732889957,6.00441265579556e-05,0.00972871487090771,"ALDOC"
"ENSG00000174226.9",80.438117501556,2.19204051423373,0.546971006511917,4.00759910148175,6.13391258446386e-05,0.00985286148157889,"SNX31"
"ENSG00000078668.14",897.990812387818,1.14343643452462,0.285744554057847,4.00160359414282,6.2914638763669e-05,0.0100195595220807,"VDAC3"
"ENSG00000116161.18",617.240823031794,1.02632436499366,0.256903971219229,3.99497275235908,6.47016937125045e-05,0.0100465554912091,"CACYBP"
"ENSG00000052802.13",315.273711180891,1.22295395879447,0.306288180711966,3.99282125726079,6.52917857033844e-05,0.0100543953967865,"MSMO1"
"ENSG00000232489.1",187.781045585445,-1.3876762201715,0.347830951800865,-3.98951333395409,6.62089975014522e-05,0.0101120676265947,NA
"ENSG00000293607.1",180.294815370072,1.31094009265973,0.32913026986515,3.9830432284361,6.80383737272759e-05,0.0103069838834173,NA
"ENSG00000171951.5",1429.00844464111,1.10836243207215,0.278983980570672,3.97285331510774,7.10167854386892e-05,0.0105860461046328,"SCG2"
"ENSG00000157404.17",841.415884683864,1.30545723997634,0.328972462766489,3.96828728154969,7.23910344434856e-05,0.0106974882938187,"KIT"
"ENSG00000102471.16",2081.48705135545,1.00919799226468,0.254425497447628,3.96657568674861,7.29126288474737e-05,0.0106974882938187,"NDFIP2"
